,location_id,location_name,year_id,estimate_type,indicator_id,indicator_short,ihme_indicator_description,indicator_outline,indicator_unit,target_description,goal_description,scaled_value,scaled_lower,scaled_upper
27,6,China,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,74.5,67.6,82.8
68,7,North Korea,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,76.9,41.1,100.0
109,8,Taiwan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,84.5,77.7,90.7
150,10,Cambodia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,63.3,49.3,81.1
191,11,Indonesia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,59.8,55.3,63.4
232,12,Laos,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,66.7,30.1,99.6
273,13,Malaysia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,51.4,47.6,56.9
314,14,Maldives,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,96.2,92.2,98.7
355,15,Myanmar,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,47.6,43.2,51.7
396,16,Philippines,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,52.1,45.0,58.3
437,17,Sri Lanka,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,80.3,74.1,86.4
478,18,Thailand,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,38.9,34.3,42.4
519,19,Timor-Leste,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,59.6,22.4,95.9
560,20,Vietnam,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,46.8,42.4,50.4
601,22,Fiji,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,63.6,58.7,67.6
642,23,Kiribati,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,90.3,82.9,95.0
